id,product_id,product_name,withPrefix,icon,regex,regex_type,status,available_for_demo,created_by,updated_by,created_at,updated_at
1,PIU,Pulsa Isi Ulang,1,pulsa-isi-ulang-20240301212757.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 21:27:57
2,PT,Pulsa Transfer,1,pulsa-transfer-20240301195641.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 19:56:41
4,PD,Paket Data,1,paket-data-20240301213107.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 21:31:07
5,PTP,Paket Telpon,1,paket-telpon-20240301213118.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-12-13 23:40:38
6,PS,Paket SMS,1,paket-sms-20240301213127.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 21:31:27
7,TL,Token Listrik,2,token-listrik-20240302084947.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-12-13 23:40:15
8,TG,Topup Game,2,topup-game-20240301235916.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-04 20:44:07
9,UDIL,Uang Digital,0,uang-digital-20240301234657.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-20 08:04:55
10,WIFI,Wifi ID,2,wifi-id-20240301235324.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 23:53:24
11,TVK,Paket TV,2,paket-tv-20240301194848.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 19:48:48
12,VM,Voucher Makan,2,PRA-11.png,"^[0-9\\.]+$",2,INACTIVE,YES,,4,2024-02-09 07:20:39,2024-02-26 21:06:31
13,VB,Voucher Belanja,2,PRA-12.png,"^[0-9\\.]+$",2,INACTIVE,YES,,4,2024-02-09 07:20:39,2024-02-26 21:06:22
14,INJ,Voucher Internet,0,voucher-internet-20241002163919.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-10-02 16:39:19
15,MA,Masa Aktif,1,masa-aktif-20240301213251.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 21:32:51
16,TPG,Token Pertagas,2,token-pertagas-20240301213421.png,"^[0-9\\.]+$",2,ACTIVE,YES,,4,2024-02-09 07:20:39,2024-03-01 21:34:21
17,MEP,Token MEP,0,token-mep-20240302083842.png,"^[0-9\\.]+$",2,ACTIVE,YES,4,4,2024-03-01 20:45:43,2024-03-02 08:38:42
18,OJOL,Saldo Gojek,0,saldo-gojek-20240310084511.png,"^[0-9\\.]+$",2,ACTIVE,YES,4,4,2024-03-03 09:06:51,2024-03-10 08:46:01
19,PORB,Paket Orbit,1,paket-orbit-20240325205303.png,"^[0-9\\.]+$",2,ACTIVE,YES,4,4,2024-03-25 20:53:04,2024-09-05 12:57:21
20,BYU,ByU,1,byu-20240921145336.png,"^[0-9\\.]+$",2,ACTIVE,YES,4,4,2024-04-08 23:49:38,2024-09-21 14:55:06
21,AXIS,Axis,0,axis-20240921151006.png,"^[0-9\\.]+$",2,ACTIVE,YES,4,4,2024-06-28 18:42:47,2024-09-21 15:10:06
22,MNTSEL,Telkomsel,0,telkomsel-20240805065010.png,"^[0-9\\.]+$",2,INACTIVE,YES,4,4,2024-08-05 06:50:11,2024-09-05 12:57:01
